Time, Altitude (ft), Airspeed (Kts), Latitude, Longitude, Weight of fuel (lbs), Weight of total fuel (kgs), Total weight (kgs), 
28.148438, 20183.730469, 195.609268, 39.723419, -8.499420, 24169.677734, 5504.833984, 63842.343750, 
28.671875, 20168.982422, 195.484100, 39.722504, -8.499311, 24169.677734, 5504.750977, 63842.257812, 
29.195312, 20154.988281, 195.346954, 39.721584, -8.499202, 24169.677734, 5504.667969, 63842.175781, 
29.718750, 20141.791016, 195.202744, 39.720665, -8.499093, 24169.677734, 5504.584961, 63842.093750, 
30.250000, 20129.335938, 195.054672, 39.719749, -8.498984, 24169.677734, 5504.501953, 63842.007812, 
30.773438, 20117.519531, 194.905563, 39.718834, -8.498876, 24169.677734, 5504.417969, 63841.925781, 
31.296875, 20106.179688, 194.758057, 39.717922, -8.498768, 24169.677734, 5504.336914, 63841.843750, 
31.820312, 20095.087891, 194.613327, 39.717010, -8.498659, 24169.677734, 5504.254883, 63841.761719, 
32.343750, 20084.083984, 194.472672, 39.716099, -8.498551, 24169.677734, 5504.173828, 63841.523438, 
32.867188, 20073.058594, 194.337616, 39.715187, -8.498443, 24169.677734, 5504.091309, 63841.597656, 
33.398438, 20061.896484, 194.208847, 39.714195, -8.498325, 24169.677734, 5504.001953, 63841.511719, 
33.968750, 20049.443359, 194.075912, 39.713284, -8.498218, 24169.677734, 5503.920410, 63841.425781, 
34.500000, 20037.652344, 193.960617, 39.712372, -8.498109, 24169.677734, 5503.838379, 63841.339844, 
35.070312, 20024.361328, 193.841934, 39.711376, -8.497991, 24169.677734, 5503.747559, 63841.253906, 
35.601562, 20011.781250, 193.738693, 39.710464, -8.497883, 24169.677734, 5503.665527, 63841.167969, 
36.179688, 19997.550781, 193.625092, 39.709465, -8.497754, 24169.677734, 5503.566406, 63841.074219, 
36.750000, 19983.197266, 193.507263, 39.708393, -8.497637, 24169.677734, 5503.476562, 63840.988281, 
37.320312, 19968.759766, 193.380432, 39.707493, -8.497531, 24169.677734, 5503.387695, 63840.738281, 
37.890625, 19954.482422, 193.245102, 39.706421, -8.497403, 24169.677734, 5503.297852, 63840.808594, 
38.460938, 19940.546875, 193.106094, 39.705524, -8.497296, 24169.677734, 5503.208984, 63840.714844, 
39.031250, 19926.960938, 192.965210, 39.704536, -8.497180, 24169.677734, 5503.127930, 63840.636719, 
39.562500, 19914.765625, 192.835861, 39.703629, -8.497072, 24169.677734, 5503.045898, 63840.554688, 
40.085938, 19902.839844, 192.708786, 39.702728, -8.496965, 24169.677734, 5502.964844, 63840.472656, 
40.609375, 19890.902344, 192.583176, 39.701820, -8.496858, 24169.677734, 5502.880859, 63840.386719, 
41.132812, 19879.058594, 192.461746, 39.700920, -8.496751, 24169.677734, 5502.798340, 63840.304688, 
41.656250, 19867.054688, 192.343185, 39.700016, -8.496643, 24169.677734, 5502.714844, 63840.222656, 
42.179688, 19855.052734, 192.229889, 39.699120, -8.496537, 24169.677734, 5502.633301, 63840.140625, 
42.703125, 19842.736328, 192.119446, 39.698215, -8.496429, 24169.677734, 5502.549805, 63840.058594, 
43.226562, 19830.404297, 192.014542, 39.697323, -8.496325, 24169.677734, 5502.468750, 63839.976562, 
43.750000, 19817.685547, 191.911942, 39.696423, -8.496218, 24169.677734, 5502.386230, 63839.894531, 
44.281250, 19804.792969, 191.809082, 39.695526, -8.496111, 24169.677734, 5502.304199, 63839.812500, 
44.804688, 19791.685547, 191.700668, 39.694622, -8.496004, 24169.677734, 5502.220703, 63839.730469, 
45.328125, 19778.611328, 191.585587, 39.693729, -8.495898, 24169.677734, 5502.139160, 63839.640625, 
45.898438, 19764.529297, 191.451767, 39.692753, -8.495786, 24169.677734, 5502.049316, 63839.558594, 
46.429688, 19751.812500, 191.324677, 39.691853, -8.495685, 24169.677734, 5501.967773, 63839.476562, 
46.953125, 19739.423828, 191.196609, 39.690952, -8.495578, 24169.677734, 5501.876953, 63839.386719, 
47.523438, 19726.183594, 191.057678, 39.689968, -8.495485, 24169.677734, 5501.794922, 63839.300781, 
48.046875, 19714.242188, 190.933228, 39.689072, -8.495399, 24169.677734, 5501.713379, 63839.218750, 
48.578125, 19702.337891, 190.812607, 39.688175, -8.495318, 24169.677734, 5501.630859, 63839.140625, 
49.101562, 19690.277344, 190.695648, 39.687275, -8.495244, 24169.677734, 5501.547363, 63839.054688, 
49.625000, 19678.152344, 190.585205, 39.686378, -8.495179, 24169.677734, 5501.465332, 63838.968750, 
50.148438, 19665.759766, 190.480606, 39.685486, -8.495121, 24169.677734, 5501.381836, 63838.890625, 
50.679688, 19653.052734, 190.380005, 39.684589, -8.495073, 24169.677734, 5501.299805, 63838.804688, 
51.203125, 19640.007812, 190.278625, 39.683693, -8.495035, 24169.677734, 5501.216797, 63838.726562, 
51.734375, 19626.369141, 190.171341, 39.682777, -8.495008, 24169.677734, 5501.132812, 63838.636719, 
52.281250, 19612.433594, 190.056885, 39.681850, -8.494992, 24169.677734, 5501.046875, 63838.554688, 
52.804688, 19598.976562, 189.941711, 39.680958, -8.494989, 24169.677734, 5500.963867, 63838.472656, 
53.328125, 19585.679688, 189.825409, 39.680065, -8.494998, 24169.677734, 5500.881836, 63838.390625, 
53.851562, 19572.613281, 189.709961, 39.679180, -8.495018, 24169.677734, 5500.800293, 63838.308594, 
54.375000, 19559.591797, 189.594803, 39.678288, -8.495049, 24169.677734, 5500.717773, 63838.222656, 
54.898438, 19546.669922, 189.481552, 39.677399, -8.495092, 24169.677734, 5500.635742, 63838.140625, 
55.421875, 19533.748047, 189.370728, 39.676506, -8.495148, 24169.677734, 5500.552246, 63838.058594, 
55.945312, 19520.716797, 189.262604, 39.675617, -8.495214, 24169.677734, 5500.469238, 63837.976562, 
56.476562, 19507.640625, 189.158112, 39.674728, -8.495293, 24169.677734, 5500.387207, 63837.894531, 
57.000000, 19494.490234, 189.054749, 39.673843, -8.495382, 24169.677734, 5500.305664, 63837.812500, 
57.523438, 19481.095703, 188.946045, 39.672958, -8.495484, 24169.677734, 5500.222656, 63837.730469, 
58.046875, 19467.658203, 188.830688, 39.672070, -8.495599, 24169.677734, 5500.139648, 63837.644531, 
58.578125, 19454.306641, 188.712189, 39.671185, -8.495727, 24169.677734, 5500.055664, 63837.566406, 
59.101562, 19441.068359, 188.592850, 39.670296, -8.495866, 24169.677734, 5499.971680, 63837.480469, 
59.632812, 19428.166016, 188.475555, 39.669418, -8.496017, 24169.677734, 5499.889648, 63837.394531, 
60.156250, 19415.291016, 188.358597, 39.668537, -8.496180, 24169.677734, 5499.806641, 63837.316406, 
60.679688, 19402.490234, 188.243820, 39.667660, -8.496354, 24169.677734, 5499.724609, 63837.230469, 
61.210938, 19389.671875, 188.131790, 39.666782, -8.496541, 24169.677734, 5499.641602, 63837.148438, 
61.750000, 19376.394531, 188.019379, 39.665878, -8.496746, 24169.677734, 5499.556152, 63836.906250, 
62.257812, 19363.808594, 187.917023, 39.665031, -8.496950, 24169.677734, 5499.474609, 63836.980469, 
62.773438, 19349.919922, 187.808884, 39.664112, -8.497185, 24169.677734, 5499.387695, 63836.894531, 
63.312500, 19337.404297, 187.715393, 39.663296, -8.497426, 24169.677734, 5499.290527, 63836.800781, 
63.937500, 19321.568359, 187.602219, 39.662277, -8.497694, 24169.677734, 5499.209473, 63836.714844, 
64.484375, 19306.970703, 187.502457, 39.661358, -8.497971, 24169.677734, 5499.119141, 63836.628906, 
65.023438, 19292.603516, 187.407990, 39.660465, -8.498252, 24169.677734, 5499.032227, 63836.542969, 
65.554688, 19279.031250, 187.320953, 39.659634, -8.498527, 24169.677734, 5498.954102, 63836.460938, 
66.078125, 19264.833984, 187.231735, 39.658707, -8.498872, 24169.677734, 5498.855469, 63836.363281, 
66.695312, 19248.095703, 187.121185, 39.657654, -8.499229, 24169.677734, 5498.760742, 63836.265625, 
67.296875, 19231.708984, 187.029114, 39.656815, -8.499549, 24169.677734, 5498.680664, 63836.187500, 
67.835938, 19217.003906, 186.940338, 39.655952, -8.499887, 24169.677734, 5498.597168, 63835.945312, 
68.351562, 19201.410156, 186.845947, 39.655048, -8.500259, 24169.677734, 5498.507812, 63836.015625, 
68.914062, 19187.298828, 186.760010, 39.654232, -8.500607, 24169.677734, 5498.419922, 63835.929688, 
69.484375, 19171.541016, 186.662918, 39.653324, -8.501009, 24169.677734, 5498.337891, 63835.843750, 
70.023438, 19155.390625, 186.556046, 39.652348, -8.501459, 24169.677734, 5498.237305, 63835.742188, 
70.609375, 19140.757812, 186.468262, 39.651558, -8.501836, 24169.677734, 5498.159180, 63835.656250, 
71.195312, 19124.835938, 186.365158, 39.650642, -8.502287, 24169.677734, 5498.067871, 63835.578125, 
71.718750, 19110.437500, 186.271133, 39.649815, -8.502707, 24169.677734, 5497.983887, 63835.492188, 
72.234375, 19096.830078, 186.179184, 39.649033, -8.503118, 24169.677734, 5497.904785, 63835.414062, 
72.757812, 19082.693359, 186.079193, 39.648216, -8.503556, 24169.677734, 5497.821289, 63835.328125, 
73.289062, 19068.843750, 185.976135, 39.647408, -8.503999, 24169.677734, 5497.739258, 63835.242188, 
73.867188, 19053.869141, 185.859329, 39.646523, -8.504496, 24169.677734, 5497.648438, 63835.156250, 
74.390625, 19040.519531, 185.750244, 39.645718, -8.504953, 24169.677734, 5497.566406, 63835.070312, 
74.929688, 19027.146484, 185.636200, 39.644897, -8.505428, 24169.677734, 5497.481934, 63834.992188, 
75.460938, 19014.373047, 185.523209, 39.644100, -8.505895, 24169.677734, 5497.400391, 63834.906250, 
75.984375, 19001.791016, 185.409241, 39.643303, -8.506367, 24169.677734, 5497.316895, 63834.824219, 
76.507812, 18989.343750, 185.294769, 39.642506, -8.506844, 24169.677734, 5497.234375, 63834.742188, 
77.039062, 18977.080078, 185.181427, 39.641712, -8.507322, 24169.677734, 5497.151367, 63834.503906, 
77.562500, 18964.886719, 185.069107, 39.640919, -8.507804, 24169.677734, 5497.066895, 63834.574219, 
78.093750, 18952.720703, 184.958511, 39.640125, -8.508289, 24169.677734, 5496.983398, 63834.492188, 
78.617188, 18940.576172, 184.850220, 39.639339, -8.508777, 24169.677734, 5496.900879, 63834.406250, 
79.148438, 18928.392578, 184.744308, 39.638550, -8.509265, 24169.677734, 5496.818359, 63834.324219, 
79.671875, 18916.052734, 184.640152, 39.637760, -8.509760, 24169.677734, 5496.734375, 63834.242188, 
80.195312, 18903.886719, 184.540482, 39.636990, -8.510246, 24169.677734, 5496.654297, 63834.164062, 
80.718750, 18891.400391, 184.441360, 39.636204, -8.510742, 24169.677734, 5496.563965, 63834.070312, 
81.296875, 18877.619141, 184.335480, 39.635349, -8.511287, 24169.677734, 5496.479980, 63833.984375, 
81.828125, 18864.839844, 184.240173, 39.634563, -8.511788, 24169.677734, 5496.396484, 63833.906250, 
82.351562, 18852.021484, 184.146835, 39.633785, -8.512289, 24169.677734, 5496.312988, 63833.820312, 
82.882812, 18839.089844, 184.054504, 39.632935, -8.512837, 24169.677734, 5496.221191, 63833.726562, 
83.453125, 18824.873047, 183.954590, 39.632156, -8.513342, 24169.677734, 5496.138672, 63833.648438, 
83.984375, 18811.718750, 183.863144, 39.631378, -8.513849, 24169.677734, 5496.054688, 63833.562500, 
84.515625, 18798.603516, 183.772537, 39.630604, -8.514355, 24169.677734, 5495.972656, 63833.476562, 
85.085938, 18784.292969, 183.674026, 39.629761, -8.514906, 24169.677734, 5495.881836, 63833.226562, 
85.656250, 18769.875000, 183.574463, 39.628918, -8.515462, 24169.677734, 5495.791016, 63833.296875, 
86.187500, 18756.714844, 183.483109, 39.628147, -8.515970, 24169.677734, 5495.707520, 63833.214844, 
86.710938, 18743.484375, 183.390884, 39.627373, -8.516482, 24169.677734, 5495.624512, 63833.132812, 
87.234375, 18730.355469, 183.298477, 39.626602, -8.516993, 24169.677734, 5495.541504, 63833.046875, 
87.765625, 18717.253906, 183.205505, 39.625832, -8.517504, 24169.677734, 5495.458496, 63832.964844, 
88.335938, 18703.046875, 183.103729, 39.624996, -8.518061, 24169.677734, 5495.368164, 63832.875000, 
88.859375, 18690.046875, 183.009872, 39.624229, -8.518572, 24169.677734, 5495.285156, 63832.792969, 
89.382812, 18677.173828, 182.916290, 39.623470, -8.519081, 24169.677734, 5495.203125, 63832.710938, 
89.906250, 18664.234375, 182.821640, 39.622704, -8.519594, 24169.677734, 5495.119141, 63832.625000, 
90.429688, 18651.365234, 182.726959, 39.621941, -8.520107, 24169.677734, 5495.035156, 63832.539062, 
90.960938, 18638.509766, 182.632065, 39.621174, -8.520620, 24169.677734, 5494.952148, 63832.460938, 
91.484375, 18625.644531, 182.536835, 39.620411, -8.521135, 24169.677734, 5494.868652, 63832.375000, 
92.007812, 18612.777344, 182.441498, 39.619644, -8.521652, 24169.677734, 5494.784668, 63832.292969, 
92.539062, 18599.986328, 182.346481, 39.618881, -8.522167, 24169.677734, 5494.701660, 63832.210938, 
93.062500, 18587.240234, 182.251663, 39.618118, -8.522680, 24169.677734, 5494.617188, 63832.125000, 
93.585938, 18574.531250, 182.157089, 39.617363, -8.523193, 24169.677734, 5494.534180, 63832.042969, 
94.109375, 18561.746094, 182.061981, 39.616596, -8.523709, 24169.677734, 5494.451172, 63831.960938, 
